#Sector  Superlayer  Slot  Cable  T0Correction  T0Error
2  1  1  1  116.071  0.832
2  1  1  2  120.096  0.695
2  1  1  3  120.000  0.688
2  1  1  4  120.102  0.694
2  1  1  5  120.749  0.697
2  1  1  6  119.638  0.736
2  1  2  1  117.178  0.799
2  1  2  2  119.209  0.805
2  1  2  3  120.425  0.801
2  1  2  4  122.496  0.793
2  1  2  5  123.276  0.806
2  1  2  6  125.189  0.807
2  1  3  1  121.173  0.858
2  1  3  2  121.297  0.874
2  1  3  3  121.031  0.877
2  1  3  4  122.828  0.861
2  1  3  5  123.223  0.869
2  1  3  6  122.454  0.881
2  1  4  1  123.457  0.888
2  1  4  2  123.086  0.912
2  1  4  3  119.395  0.977
2  1  4  4  119.754  0.989
2  1  4  5  120.996  0.998
2  1  4  6  120.766  1.066
2  1  5  1  120.766  1.066
2  1  5  2  120.766  1.066
2  1  5  3  119.124  1.223
2  1  5  4  118.166  1.314
2  1  5  5  118.828  1.428
2  1  5  6  119.284  1.405
2  1  6  1  120.936  1.281
2  1  6  2  123.959  1.274
2  1  6  3  120.324  1.344
2  1  6  4  120.080  1.363
2  1  6  5  119.671  1.390
2  1  6  6  125.624  1.359
2  1  7  1  117.043  1.649
2  1  7  2  119.854  1.784
2  1  7  3  118.376  1.977
2  1  7  4  119.214  1.797
2  1  7  5  117.360  2.036
2  1  7  6  115.457  2.346
