#Sector  Superlayer  Slot  Cable  T0Correction  T0Error
6  6  1  1  113.242  1.067
6  6  1  2  113.242  1.067
6  6  1  3  113.242  1.067
6  6  1  4  113.242  1.067
6  6  1  5  125.395  0.182
6  6  1  6  132.187  0.086
6  6  2  1  139.366  0.330
6  6  2  2  141.245  0.375
6  6  2  3  144.287  0.348
6  6  2  4  134.857  0.331
6  6  2  5  143.916  0.385
6  6  2  6  143.916  0.385
6  6  3  1  147.279  0.187
6  6  3  2  149.927  0.165
6  6  3  3  150.853  0.139
6  6  3  4  146.687  0.140
6  6  3  5  147.620  0.141
6  6  3  6  151.632  0.172
6  6  4  1  149.664  0.173
6  6  4  2  148.916  0.174
6  6  4  3  149.617  0.195
6  6  4  4  151.174  0.234
6  6  4  5  152.224  0.250
6  6  4  6  150.775  0.239
6  6  5  1  148.719  0.234
6  6  5  2  148.421  0.255
6  6  5  3  147.911  0.354
6  6  5  4  145.249  0.591
6  6  5  5  141.324  0.932
6  6  5  6  144.347  0.057
6  6  6  1  142.333  0.061
6  6  6  2  140.719  0.079
6  6  6  3  137.630  0.147
6  6  6  4  137.575  0.088
6  6  6  5  137.740  0.080
6  6  6  6  138.356  0.090
6  6  7  1  139.091  0.128
6  6  7  2  139.547  0.117
6  6  7  3  143.341  0.127
6  6  7  4  142.200  0.122
6  6  7  5  144.968  0.151
6  6  7  6  142.020  0.279
